S,tau,scen,rule,G_F,G_S,P_switch,P_switch_to_worse,report_bias_when_switch
S7,0.9,two+3,ρ收缩(中心=格均值) >δ才换,4.469878511991954,4.48275,0.8785,0.0,1.4583998417829218
S7,0.9,two+3,ρ收缩(中心=0) >δ才换,3.9282955606895302,3.94275,0.71825,0.0,-0.1348475858172147
S7,0.9,two+3,尖峰加平板 >δ才换,4.4941362999705285,4.52925,0.79725,0.0,1.80235617374881
S7,0.9,two+3,ρ收缩(中心=0)排序+整年留出>0才换,4.274200772085314,4.29375,0.90225,0.0,-0.385408374383957
S7,0.9,two+3,尖峰加平板排序+整年留出>0才换,4.827755349375849,4.866,0.90225,0.0,1.2307146585335231
S7,0.9,two+3,argmax+整年留出>0才换 +前向窗(SE2.7),1.639263043388949,1.63575,0.276,0.0,
S7,0.9,two+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),1.7791386663700717,1.7715,0.313,0.0,
S7,0.9,two+3,尖峰加平板 >δ才换 +前向窗(SE2.7),1.8000464849044107,1.81875,0.313,0.0,
S7,0.9,two+3,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),2.0394785801671445,2.06475,0.37825,0.0,
S7,0.9,nearopt,argmax 不设门,-1.9981691301982933,-1.9943716011641268,0.98575,0.98575,
S7,0.9,nearopt,argmax+整年留出>0才换,-0.5364416748461781,-0.5270846610979983,0.2125,0.2125,4.489858901272055
S7,0.9,nearopt,ρ收缩(中心=格均值) >δ才换,-0.09411945855084465,-0.08871717677725945,0.0665,0.0665,4.652494855940731
S7,0.9,nearopt,ρ收缩(中心=0) >δ才换,-0.2858701993182986,-0.28445854792207187,0.21,0.21,4.2979582979064705
S7,0.9,nearopt,尖峰加平板 >δ才换,-0.6976682048573731,-0.7083092714512045,0.44,0.44,4.658986536641729
S7,0.9,nearopt,ρ收缩(中心=0)排序+整年留出>0才换,-0.2802820161212464,-0.2790126441898199,0.2125,0.2125,3.8048001885403906
S7,0.9,nearopt,尖峰加平板排序+整年留出>0才换,-0.2892257743393652,-0.29332637510357773,0.2125,0.2125,4.0845821790263095
S7,0.9,nearopt,argmax+整年留出>0才换 +前向窗(SE2.7),-0.02339090716249844,-0.02466044219118438,0.01125,0.01125,
S7,0.9,nearopt,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),-0.016866473936983584,-0.0200174604408496,0.01825,0.01825,
S7,0.9,nearopt,尖峰加平板 >δ才换 +前向窗(SE2.7),-0.044271760447244214,-0.041438136046216614,0.03175,0.03175,
S7,0.9,nearopt,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),-0.020854136096591345,-0.024956711494280134,0.02375,0.02375,
S7,1.8,null,argmax 不设门,-0.012952949341305305,0.0,0.99975,0.0,
S7,1.8,null,argmax+整年留出>0才换,-0.008972118791440711,0.0,0.4845,0.0,4.184297961893156
S7,1.8,null,ρ收缩(中心=格均值) >δ才换,0.03965160179891942,0.0,0.42425,0.0,4.898130014313369
S7,1.8,null,ρ收缩(中心=0) >δ才换,0.030687288242916274,0.0,0.318,0.0,4.249682193292936
S7,1.8,null,尖峰加平板 >δ才换,0.012339646848584957,0.0,0.53425,0.0,5.259165891140659
S7,1.8,null,ρ收缩(中心=0)排序+整年留出>0才换,0.054032010073584984,0.0,0.4845,0.0,2.7305540635908256
S7,1.8,null,尖峰加平板排序+整年留出>0才换,0.028963687891921698,0.0,0.4845,0.0,4.8528508308231455
S7,1.8,null,argmax+整年留出>0才换 +前向窗(SE2.7),0.005616086333437801,0.0,0.0615,0.0,
S7,1.8,null,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),0.010570627603791053,0.0,0.04875,0.0,
S7,1.8,null,尖峰加平板 >δ才换 +前向窗(SE2.7),0.00028743428483493714,0.0,0.0815,0.0,
S7,1.8,null,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),-0.005496271955853248,0.0,0.07875,0.0,
S7,1.8,one+3,argmax 不设门,2.815159063851479,2.8455,1.0,0.0,
S7,1.8,one+3,argmax+整年留出>0才换,1.9623003264315526,2.007,0.684,0.0,2.343614133172121
S7,1.8,one+3,ρ收缩(中心=格均值) >δ才换,1.4555461656445254,1.49625,0.67,0.0,3.73973378527449
S7,1.8,one+3,ρ收缩(中心=0) >δ才换,1.294208365404844,1.368,0.49975,0.0,2.641707260877877
S7,1.8,one+3,尖峰加平板 >δ才换,1.9096186788095797,1.96575,0.70675,0.0,3.9734956624551874
S7,1.8,one+3,ρ收缩(中心=0)排序+整年留出>0才换,1.4274661213393303,1.48875,0.684,0.0,1.7463628212553366
S7,1.8,one+3,尖峰加平板排序+整年留出>0才换,1.7951091151389924,1.854,0.684,0.0,3.800536899584321
S7,1.8,one+3,argmax+整年留出>0才换 +前向窗(SE2.7),0.4521392696019837,0.45675,0.15475,0.0,
S7,1.8,one+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),0.40131054505523295,0.411,0.143,0.0,
S7,1.8,one+3,尖峰加平板 >δ才换 +前向窗(SE2.7),0.5271840857038094,0.54075,0.1885,0.0,
S7,1.8,one+3,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),0.5211717497035061,0.5205,0.1845,0.0,
S7,1.8,two+3,argmax 不设门,5.660421108925153,5.73225,1.0,0.0,
S7,1.8,two+3,argmax+整年留出>0才换,4.804588901895858,4.851,0.83575,0.0,1.2172222241362973
S7,1.8,two+3,ρ收缩(中心=格均值) >δ才换,3.7901346800402007,3.81,0.8405,0.0,2.9838695045123473
S7,1.8,two+3,ρ收缩(中心=0) >δ才换,3.3740507932018993,3.39525,0.6495,0.0,1.2627527579205666
S7,1.8,two+3,尖峰加平板 >δ才换,4.5691770095432,4.626,0.849,0.0,3.191318558928072
S7,1.8,two+3,ρ收缩(中心=0)排序+整年留出>0才换,3.6659035754199314,3.66225,0.83575,0.0,0.6719228814943349
S7,1.8,two+3,尖峰加平板排序+整年留出>0才换,4.450404459328084,4.49925,0.83575,0.0,3.1380592826285
S7,1.8,two+3,argmax+整年留出>0才换 +前向窗(SE2.7),1.6380129244305124,1.62075,0.2755,0.0,
S7,1.8,two+3,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),1.402467607647251,1.3965,0.2575,0.0,
S7,1.8,two+3,尖峰加平板 >δ才换 +前向窗(SE2.7),1.6815828003952311,1.7145,0.308,0.0,
S7,1.8,two+3,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),1.7256601204924258,1.7115,0.31225,0.0,
S7,1.8,nearopt,argmax 不设门,-2.534930062144335,-2.4734645038125374,0.994,0.994,
S7,1.8,nearopt,argmax+整年留出>0才换,-0.6692873825208251,-0.6873321003781288,0.23575,0.23575,5.49497884772075
S7,1.8,nearopt,ρ收缩(中心=格均值) >δ才换,-0.2627480599111681,-0.26418838396714633,0.17175,0.17175,5.28004366967602
S7,1.8,nearopt,ρ收缩(中心=0) >δ才换,-0.5816674779960886,-0.5733270234123222,0.3435,0.3435,5.226862589939123
S7,1.8,nearopt,尖峰加平板 >δ才换,-1.2692822294882682,-1.2605585414709413,0.64425,0.64425,5.768876427124244
S7,1.8,nearopt,ρ收缩(中心=0)排序+整年留出>0才换,-0.382625684288313,-0.3983413554433537,0.23575,0.23575,5.068841909878303
S7,1.8,nearopt,尖峰加平板排序+整年留出>0才换,-0.4460847666855866,-0.4582419445678814,0.23575,0.23575,6.167141682907849
S7,1.8,nearopt,argmax+整年留出>0才换 +前向窗(SE2.7),-0.046723479348472555,-0.044017179909054356,0.01775,0.01775,
S7,1.8,nearopt,ρ收缩(中心=0) >δ才换 +前向窗(SE2.7),-0.0639110414822149,-0.04924363357257474,0.03625,0.03625,
S7,1.8,nearopt,尖峰加平板 >δ才换 +前向窗(SE2.7),-0.14166950485436278,-0.10767165422912135,0.0635,0.0635,
S7,1.8,nearopt,尖峰加平板排序+整年留出>0才换 +前向窗(SE2.7),-0.04864368908770226,-0.03924995993567902,0.024,0.024,
