S,tau,scen,mode,cv_bias,cv_mean,P_switch,G_gate,G_nogate,dims_kept,rule,G_F,G_S,P_switch_to_worse,report_bias_when_switch,r,split,cv_sd,G_F_gate,G_S_gate,G_F_written,P_write,relax_share_selected,G_F_selected_nogate
S3,0.9,null,A_全数据剪枝,1.2401743028160395,1.2553817956417195,0.34775,0.016008352933047667,0.01520749282568019,0.88725,,,,,,,,,,,,,,
S3,0.9,null,B_折内剪枝,-0.00831314420142944,0.0068943486242507524,0.22475,0.01774899997396749,0.01520749282568019,0.88725,,,,,,,,,,,,,,
S3,0.9,null,C_不剪枝,-0.06442440101868752,0.0258015083085362,0.49775,0.05656026626712543,0.09022590932722371,12.0,,,,,,,,,,,,,,
S3,0.9,one+3,A_全数据剪枝,1.6412597737048567,3.565605260729171,0.753,1.8944472609323824,1.9243454870243144,1.4535,,,,,,,,,,,,,,
S3,0.9,one+3,B_折内剪枝,-0.7277585661060777,1.1965869209182365,0.608,1.5876962885065846,1.9243454870243144,1.4535,,,,,,,,,,,,,,
S3,0.9,one+3,C_不剪枝,-0.12446195002968688,2.8608279604791824,0.747,2.2339029255513734,2.985289910508869,12.0,,,,,,,,,,,,,,
S7,0.9,null,,,,0.337,,,,E0_中心=格均值_>δ才换,-0.013924692027052002,0.0,0.0,3.960641909019522,,,,,,,,,
S7,0.9,null,,,,0.20125,,,,E0_中心=0_>δ才换,-0.014264315275029069,0.0,0.0,3.3880809115551824,,,,,,,,,
S7,0.9,null,,,,0.48575,,,,argmax+整年留出>0才换,0.03798822904892432,0.0,0.0,3.2209995922228543,,,,,,,,,
S7,0.9,null,,,,0.99975,,,,argmax 不设门,0.06402097785825464,0.0,0.0,,,,,,,,,,
S6,0.9,null,,0.26647744261769596,,0.504,,,,pooled,-0.05491255538319214,0.0,,,0.0,i_整年2折,4.550960634263278,-0.009254815804176341,0.0,,,,
S6,0.9,null,,0.2050833882569357,,0.504,,,,worst,0.006481498977568073,0.0,,,0.0,i_整年2折,4.530959630247364,0.027061984592756765,0.0,,,,
S6,0.9,null,,0.17959070186531514,,0.501,,,,pooled,-0.05491255538319214,0.0,,,0.0,ii_半年4折_purge,4.501634350047754,-0.010228094890057217,0.0,,,,
S6,0.9,null,,0.24173281995309673,,0.508,,,,worst,-0.07967238509604435,0.0,,,0.0,ii_半年4折_purge,4.103814886883441,-0.023617612545899253,0.0,,,,
S6,0.9,null,,0.21563341506987574,,0.509,,,,pooled,-0.035542282405454706,0.0,,,0.5,i_整年2折,4.622768338596165,-0.0343267196553049,0.0,,,,
S6,0.9,null,,0.26343572243685176,,0.509,,,,worst,-0.08334458977243074,0.0,,,0.5,i_整年2折,4.5735782429447225,-0.07867636161341274,0.0,,,,
S6,0.9,null,,0.5339220110591837,,0.527,,,,pooled,-0.035542282405454706,0.0,,,0.5,ii_半年4折_purge,4.618535694721452,-0.06991889200348396,0.0,,,,
S6,0.9,null,,0.49896853835593447,,0.529,,,,worst,-0.03074056692351926,0.0,,,0.5,ii_半年4折_purge,4.146384107929945,-0.07181304744130396,0.0,,,,
S6,0.9,null,,0.15031857771565665,,0.481,,,,pooled,-0.16543510522646315,0.0,,,1.0,i_整年2折,4.574261657083833,-0.06139379436064208,0.0,,,,
S6,0.9,null,,0.14096254060196178,,0.481,,,,worst,-0.1560790681127683,0.0,,,1.0,i_整年2折,4.567458070908459,-0.06974626262341663,0.0,,,,
S6,0.9,null,,0.8088763335460628,,0.547,,,,pooled,-0.16543510522646315,0.0,,,1.0,ii_半年4折_purge,4.534263913435434,-0.052535990659907356,0.0,,,,
S6,0.9,null,,0.6476680195160299,,0.532,,,,worst,-0.07765131106993323,0.0,,,1.0,ii_半年4折_purge,4.1067575740463695,-0.0011351240296446506,0.0,,,,
S7,0.9,one+3,,,,0.677,,,,E0_中心=格均值_>δ才换,1.7122263403607687,1.6815,0.0,2.446306614847078,,,,,,,,,
S7,0.9,one+3,,,,0.51,,,,E0_中心=0_>δ才换,1.5050415083815751,1.47975,0.0,1.2173155077115596,,,,,,,,,
S7,0.9,one+3,,,,0.746,,,,argmax+整年留出>0才换,2.2282052557151486,2.21775,0.0,1.5645904358063143,,,,,,,,,
S7,0.9,one+3,,,,1.0,,,,argmax 不设门,2.9611065314973093,2.9475,0.0,,,,,,,,,,
S6,0.9,one+3,,-0.3470281748879874,,0.736,,,,pooled,3.0114588947195107,2.958,,,0.0,i_整年2折,4.605943478368022,2.2195776052908975,2.19,,,,
S6,0.9,one+3,,-0.26954576029275507,,0.736,,,,worst,2.9339764801242785,2.904,,,0.0,i_整年2折,4.585638739435082,2.139896151810032,2.154,,,,
S6,0.9,one+3,,-0.3150483940035844,,0.751,,,,pooled,3.0114588947195107,2.958,,,0.0,ii_半年4折_purge,4.578806067588129,2.3065636901312536,2.235,,,,
S6,0.9,one+3,,-0.2513866185793884,,0.743,,,,worst,2.8045738865077965,2.757,,,0.0,ii_半年4折_purge,4.268927254295386,2.1316874825769325,2.109,,,,
S6,0.9,one+3,,-0.18807428758365263,,0.727,,,,pooled,2.913154478846238,2.94,,,0.5,i_整年2折,4.847779859545224,2.1153139045132168,2.157,,,,
S6,0.9,one+3,,-0.16369568978781346,,0.727,,,,worst,2.8887758810503987,2.874,,,0.5,i_整年2折,4.886777467189325,2.0882437543477703,2.124,,,,
S6,0.9,one+3,,0.27908228360378157,,0.753,,,,pooled,2.913154478846238,2.94,,,0.5,ii_半年4折_purge,4.798681857563689,2.180282852221271,2.232,,,,
S6,0.9,one+3,,0.16692484821304548,,0.757,,,,worst,2.7265338013533245,2.682,,,0.5,ii_半年4折_purge,4.316706686782997,2.152829710598926,2.148,,,,
S6,0.9,one+3,,-0.00024898259879394403,,0.736,,,,pooled,2.825933561364875,2.943,,,1.0,i_整年2折,4.745643499534698,2.0978371551350774,2.187,,,,
S6,0.9,one+3,,0.056316289063130395,,0.736,,,,worst,2.76936828970295,2.874,,,1.0,i_整年2折,4.662793253732684,2.068464767353438,2.154,,,,
S6,0.9,one+3,,0.6545565196579067,,0.792,,,,pooled,2.825933561364875,2.943,,,1.0,ii_半年4折_purge,4.737666884736841,2.260058525862624,2.355,,,,
S6,0.9,one+3,,0.4558091713969734,,0.797,,,,worst,2.7114681327816035,2.778,,,1.0,ii_半年4折_purge,4.373772411369032,2.240403345862269,2.292,,,,
S7,0.9,nearopt,,,,0.064,,,,E0_中心=格均值_>δ才换,-0.06372951204985722,-0.07366765248454872,0.064,4.072604752078509,,,,,,,,,
S7,0.9,nearopt,,,,0.20575,,,,E0_中心=0_>δ才换,-0.2575251006234063,-0.26586738465318926,0.20575,4.139161351056169,,,,,,,,,
S7,0.9,nearopt,,,,0.19725,,,,argmax+整年留出>0才换,-0.45853951045747626,-0.4761469178904456,0.19725,4.249676508340103,,,,,,,,,
S7,0.9,nearopt,,,,0.98825,,,,argmax 不设门,-1.9433736550194307,-1.979709120841669,0.98825,,,,,,,,,,
S6,0.9,nearopt,,-0.5041237396848571,,0.2,,,,pooled,-2.0561609655010855,-2.0160804548015165,,,0.0,i_整年2折,4.059676958573042,-0.5052533277409602,-0.479862756570306,,,,
S6,0.9,nearopt,,-0.739871492189608,,0.2,,,,worst,-1.8204132129963349,-1.7873585902389368,,,0.0,i_整年2折,4.071696541379536,-0.4811904109359947,-0.46313689303159195,,,,
S6,0.9,nearopt,,-0.22789907321865405,,0.219,,,,pooled,-2.0561609655010855,-2.0160804548015165,,,0.0,ii_半年4折_purge,3.9035961139330846,-0.5459194438469185,-0.5023350714057325,,,,
S6,0.9,nearopt,,-0.5147335365921732,,0.216,,,,worst,-1.373000035461711,-1.3222907472548202,,,0.0,ii_半年4折_purge,3.6738909295500646,-0.4866975995540331,-0.4642190070461565,,,,
S6,0.9,nearopt,,-0.6148773091330914,,0.207,,,,pooled,-2.0171058726631843,-2.041548600782635,,,0.5,i_整年2折,4.137668950312676,-0.5008745985605917,-0.5198829071741604,,,,
S6,0.9,nearopt,,-0.7944640757938329,,0.207,,,,worst,-1.837519106002443,-1.8423722752539382,,,0.5,i_整年2折,4.086019209061656,-0.45288796837499423,-0.48945029723064726,,,,
S6,0.9,nearopt,,0.016817570826143977,,0.254,,,,pooled,-2.0171058726631843,-2.041548600782635,,,0.5,ii_半年4折_purge,3.8846251808499943,-0.5918901589699593,-0.6123810893618655,,,,
S6,0.9,nearopt,,-0.22588460446427097,,0.254,,,,worst,-1.2571890212129888,-1.2406724888356588,,,0.5,ii_半年4折_purge,3.573750794023997,-0.5129548391929013,-0.5033336644596825,,,,
S6,0.9,nearopt,,-0.8539878240135613,,0.18,,,,pooled,-1.9325302726421485,-1.9806692833666828,,,1.0,i_整年2折,4.04204696568459,-0.38308451629120865,-0.41471163415284945,,,,
S6,0.9,nearopt,,-1.0708973716072154,,0.18,,,,worst,-1.7156207250484943,-1.7983400007039148,,,1.0,i_整年2折,4.041213597805128,-0.36266619203703865,-0.3913807534918312,,,,
S6,0.9,nearopt,,-0.03721579653664659,,0.243,,,,pooled,-1.9325302726421485,-1.9806692833666828,,,1.0,ii_半年4折_purge,3.8396252779932114,-0.5200719498060087,-0.5545655856693195,,,,
S6,0.9,nearopt,,-0.3429579969369542,,0.23,,,,worst,-1.2539537905650195,-1.281277153318809,,,1.0,ii_半年4折_purge,3.446506035412695,-0.4251134477650215,-0.475410853431807,,,,
S3,1.8,null,A_全数据剪枝,2.7644605891286558,2.7301529467314922,0.5895,-0.041316113458036055,-0.034307642397163385,1.94,,,,,,,,,,,,,,
S3,1.8,null,B_折内剪枝,0.04706816972145029,0.012760527324286909,0.36975,-0.03567916659375394,-0.034307642397163385,1.94,,,,,,,,,,,,,,
S3,1.8,null,C_不剪枝,0.07195712415216379,0.03704562369597478,0.4875,-0.036659587886983064,-0.034911500456188994,12.0,,,,,,,,,,,,,,
S3,1.8,one+3,A_全数据剪枝,3.0507805185452397,4.896300331251786,0.81575,1.784944193502799,1.845519812706546,2.37975,,,,,,,,,,,,,,
S3,1.8,one+3,B_折内剪枝,-0.5939438879168228,1.2515759247897231,0.60975,1.4208461515406698,1.845519812706546,2.37975,,,,,,,,,,,,,,
S3,1.8,one+3,C_不剪枝,-0.22418608955982255,2.664612047109661,0.6845,2.027890972453678,2.8887981366694833,12.0,,,,,,,,,,,,,,
S7,1.8,null,,,,0.4265,,,,E0_中心=格均值_>δ才换,0.008745456436568315,0.0,0.0,4.775643629162406,,,,,,,,,
S7,1.8,null,,,,0.3205,,,,E0_中心=0_>δ才换,0.03108635580083486,0.0,0.0,4.116747571777972,,,,,,,,,
S7,1.8,null,,,,0.48625,,,,argmax+整年留出>0才换,0.08182035980246458,0.0,0.0,3.8734689275732292,,,,,,,,,
S7,1.8,null,,,,0.9995,,,,argmax 不设门,-0.03666482739730314,0.0,0.0,,,,,,,,,,
S6,1.8,null,,-0.0799392387595758,,0.467,,,,pooled,0.013974798706735285,0.0,,,0.0,i_整年2折,6.573399202117441,0.03799246377543788,0.0,,,,
S6,1.8,null,,0.08576794366888243,,0.467,,,,worst,-0.151732383721723,0.0,,,0.0,i_整年2折,6.436674417751504,-0.0386618317122637,0.0,,,,
S6,1.8,null,,-0.20672249773066756,,0.466,,,,pooled,0.013974798706735285,0.0,,,0.0,ii_半年4折_purge,6.845918929106132,-0.08362106745020129,0.0,,,,
S6,1.8,null,,-0.09334050770246886,,0.463,,,,worst,-0.022449620640430826,0.0,,,0.0,ii_半年4折_purge,5.853059662863463,0.05892005253817334,0.0,,,,
S6,1.8,null,,0.39363917864755305,,0.511,,,,pooled,-0.17819575245198854,0.0,,,0.5,i_整年2折,7.01103435500046,-0.23005762994239423,0.0,,,,
S6,1.8,null,,0.4481869069510443,,0.511,,,,worst,-0.23274348075547976,0.0,,,0.5,i_整年2折,6.864700574589574,-0.24463094740260932,0.0,,,,
S6,1.8,null,,1.6920034679395977,,0.612,,,,pooled,-0.17819575245198854,0.0,,,0.5,ii_半年4折_purge,6.959806595540351,-0.16418650101376212,0.0,,,,
S6,1.8,null,,1.576894793890159,,0.608,,,,worst,-0.15396847228854554,0.0,,,0.5,ii_半年4折_purge,6.237726714217379,-0.23792462147846466,0.0,,,,
S6,1.8,null,,-0.11021419808377722,,0.479,,,,pooled,0.013173201783164955,0.0,,,1.0,i_整年2折,6.93789586423034,-0.06188190538551156,0.0,,,,
S6,1.8,null,,-0.06967349130427528,,0.479,,,,worst,-0.02736750499633696,0.0,,,1.0,i_整年2折,6.917182103824643,-0.10283596532574746,0.0,,,,
S6,1.8,null,,1.9035336383953114,,0.62,,,,pooled,0.013173201783164955,0.0,,,1.0,ii_半年4折_purge,6.764760412297475,-0.016925789571870874,0.0,,,,
S6,1.8,null,,2.0667801896149376,,0.654,,,,worst,-0.05424505836890214,0.0,,,1.0,ii_半年4折_purge,6.129783756429708,-0.028520829793437712,0.0,,,,
S7,1.8,one+3,,,,0.6735,,,,E0_中心=格均值_>δ才换,1.5609839979531845,1.5135,0.0,3.736111832741339,,,,,,,,,
S7,1.8,one+3,,,,0.513,,,,E0_中心=0_>δ才换,1.4408017867041079,1.40475,0.0,2.5465063242582344,,,,,,,,,
S7,1.8,one+3,,,,0.69525,,,,argmax+整年留出>0才换,2.082183357270171,2.0295,0.0,2.3603965121933803,,,,,,,,,
