symbol,mfr,fp
FGCO,0.9752065611906644,down
HGV,0.15992373191008458,none
HGV,0.20176512276329595,up
HGV,0.1226088907503744,none
HGV,0.079593241769915,none
HGV,0.03651032049286762,none
HGV,0.1642461419629504,up
HGV,0.10286423138275613,none
HGV,0.1676442061905492,up
HGV,0.157262294925137,up
HGV,0.10216976604007932,none
HGV,0.22744352911518395,up
HGV,0.062214499334481754,none
PRT,0.05018365066529884,none
PRT,0.015508041066631062,down
PRT,0.04312369042672137,down
PRT,0.008333316449499861,none
PRT,0.18870731692012965,up
PRT,0.03521112291328521,none
PRT,0.03414675769707709,down
PRT,0.1237620800236856,none
PRT,0.02250560985244432,none
PRT,0.05577062598271554,none
PRT,0.08048790429901165,none
PRT,0.020382368423166763,none
NODK,0.028409063970008086,down
NODK,-0.009330727441782094,down
NODK,0.07988667863379373,down
NODK,0.16998462802650094,up
NODK,0.013465665391969361,none
NODK,0.025282775861087625,none
NODK,0.06307689960186291,none
NODK,0.106515643555112,up
NODK,0.06692916490042933,none
NODK,0.13449365214322828,none
NODK,0.15273317012009469,none
NODK,0.017391287521814514,down
FISK,0.13084110399422788,up
FISK,0.016877219023178958,down
FISK,0.2705168119075616,up
FISK,0.06367952140666855,up
FISK,0.2514971349645039,up
FISK,0.3474360143043773,up
FISK,0.1964482754186765,up
FISK,0.1549298820062459,both
FISK,0.027645405546658397,down
FISK,0.11833578757707386,up
FISK,0.08399981399619283,down
FISK,0.12158061886327087,up
NIMUD,0.7225435182969098,up
NIMUD,0.46551737556657313,down
NIMUD,0.30769236788478116,none
NIMUD,0.46551737556657313,down
NIMUD,0.30769236788478116,none
NIMUD,0.4750002145767893,none
NIMUD,0.2686567433278608,none
NIMUD,0.46551737556657313,down
NIMUD,0.46551737556657313,down
NIMUD,0.2142857532112037,none
NIMUD,0.12676062644148134,up
NIMUD,0.22650235577693123,none
MSGM,1.6156156869977818,up
MSGM,0.32352937464070664,down
MSGM,0.3944223160550786,none
MSGM,0.410071984401593,up
MSGM,0.19568455540269003,down
MSGM,0.20661156373421008,none
MSGM,0.2852459467472943,none
MSGM,0.4234234437415392,up
MSGM,0.5283843049359103,up
MSGM,0.211956505401373,down
MSGM,-0.006711402952518042,down
MSGM,11.757731582472548,up
TH,0.1685309660400911,none
TH,0.10423453139747463,down
TH,0.303904924011666,none
TH,0.11278193332185449,up
TH,0.2893322779239762,up
TH,0.22281171268904165,up
TH,0.06134255924894627,down
TH,0.08565864425014214,none
TH,0.05281286293138021,down
TH,0.40506332246486654,up
TH,0.004778397081474983,down
TH,0.09868427450637163,none
NMKBP,0.023960041317718117,down
NMKBP,0.012250412981860137,down
NMKBP,0.09616770793059315,up
NMKBP,0.05368359703280334,none
NMKBP,0.16334000293229867,up
NMKBP,0.11275775550724387,up
NMKBP,0.018980916148251037,none
NMKBP,0.3737669009546214,up
NMKBP,0.08768918384131097,up
NMKBP,0.08211176917655583,down
NMKBP,0.006115642141464317,none
NMKBP,0.048295579962023494,none
ASCBF,0.056910513949037345,up
ASCBF,0.002688148152452552,none
ASCBF,0.10027600405368609,up
ASCBF,0.017552676634683406,up
ASCBF,0.014381554567725052,up
ASCBF,0.10275237416791905,up
ASCBF,0.052208785351179454,up
ASCBF,0.018980976627262836,up
ASCBF,0.05116280844045229,up
ASCBF,0.05410446914725764,up
ASCBF,0.07264578002949462,up
ASCBF,0.010506175154899156,up
GDSRF,0.17800018378120241,down
GDSRF,0.08814363738975461,up
GDSRF,0.9607843503911702,down
GDSRF,0.17800018378120241,down
GDSRF,0.0,down
GDSRF,0.9607843503911702,down
GDSRF,0.08814363738975461,up
GDSRF,1.173913004042296,down
GDSRF,1.0,up
GDSRF,1.031281723234073,down
GDSRF,1.173913004042296,down
GDSRF,0.2238964132629313,up
BBXIA,-0.0008333062642550404,down
BBXIA,0.0006442831773574298,down
BBXIA,0.049837485223341194,up
BBXIA,9.098602538060163e-09,down
BBXIA,0.0,down
BBXIA,0.17576557778426194,up
BBXIA,2.7460727691774878e-08,down
BBXIA,0.007133567884508141,down
BBXIA,2.228603301901444e-09,down
BBXIA,0.24453848105229992,up
BBXIA,0.15357141516372153,up
BBXIA,0.4530091953084465,up
TACT,0.13532760852511472,none
TACT,0.09887642159093035,none
TACT,0.07466061493436693,none
TACT,0.2592592592592593,none
TACT,0.2437416851914862,up
TACT,0.21739133616171347,up
TACT,0.03555552164713549,down
TACT,0.058695649244384196,down
TACT,0.24634152496946204,up
TACT,0.1837837994577589,none
TACT,0.02745098503647614,down
TACT,0.32166663805643725,none
BGSF,0.09073182616194098,none
BGSF,0.3822894032779618,up
BGSF,0.045189451779920065,none
BGSF,0.05248991093203248,down
BGSF,0.071556325353066,none
BGSF,0.9395465403154366,up
BGSF,0.1553398934708723,none
BGSF,0.016987526455087387,down
BGSF,0.02676865396114758,down
BGSF,0.03763069193045432,none
BGSF,0.020000061848217454,none
BGSF,0.1756100668219056,down
TTEC,0.11406841797041434,down
TTEC,0.0236072637647049,down
TTEC,0.07062146968756933,down
TTEC,0.15463929146706046,none
TTEC,0.10844686717696961,none
TTEC,0.09935698540399995,none
TTEC,0.03075540877618721,down
TTEC,0.15762508956631116,none
TTEC,0.07258063947579707,none
TTEC,0.08724513587843696,down
TTEC,0.19052046324194372,none
TTEC,0.3238770400429356,up
RVSB,0.19402993745744967,up
RVSB,0.044709651943712236,none
RVSB,0.05298023214368719,none
RVSB,0.11111141719105988,down
RVSB,0.005229629610703945,down
RVSB,0.03119270383116368,none
RVSB,0.08494215068073552,none
RVSB,0.06170577893598783,none
RVSB,0.004629543263440006,down
RVSB,0.01858114502839836,none
RVSB,0.038112403653771,down
RVSB,0.09549557388246122,none
LTCN,0.8284739524742435,up
LTCN,0.6010781660765967,up
LTCN,1.9888711209979224,up
LTCN,-0.014409208041508248,down
LTCN,0.16612728002222155,down
LTCN,0.09536079243451168,down
LTCN,0.605405400180747,up
LTCN,0.12370068068752982,down
LTCN,0.4091615326869409,down
LTCN,0.5666666030883789,up
LTCN,0.5959183713189267,up
LTCN,0.6786570436279691,up
SACH,0.08623557190005737,down
SACH,0.0966176194017514,none
SACH,0.11881192727563494,none
SACH,0.3407572728505739,up
SACH,0.050148500566349785,none
SACH,0.15094359464014562,none
SACH,0.07747565807304513,down
SACH,0.18097274180424727,up
SACH,0.4257380179793675,up
SACH,0.1127599257360179,none
SACH,0.0023810489535813772,none
SACH,0.2235772292124354,down
THMG,0.2842105568611064,none
THMG,0.452631560785288,down
THMG,0.5827338206620576,up
THMG,1.4390243592182852,up
THMG,0.22222216703273845,none
THMG,1.0,up
THMG,0.44736845975024675,down
THMG,2.2857142477011188,up
THMG,0.35294113227535084,down
THMG,0.6704545531514263,up
THMG,0.5517241414747114,down
THMG,0.18918916741977942,down
TDACU,0.015779077119802087,none
TDACU,0.035748779895845795,up
TDACU,0.00990093307113904,up
TDACU,0.02211972328656575,up
TDACU,0.013779561557613063,none
TDACU,0.022552172710708085,up
TDACU,0.02111762217199331,up
TDACU,0.015779077119802087,up
TDACU,0.011845990543279061,none
TDACU,0.01911930325414768,up
TDACU,0.015779077119802087,none
TDACU,0.041788173641387205,up
BKT,0.025619767812643968,none
BKT,0.011294226712361022,down
BKT,0.09698768240856337,up
BKT,0.0739263879877825,up
BKT,-1.7003807728510623e-07,down
BKT,0.02538173289466883,down
BKT,0.013477189428536152,none
BKT,0.00416711989723173,down
BKT,0.01822235999486388,none
BKT,0.02785425189208146,none
BKT,0.016963131382673025,none
BKT,0.01554799064769763,none
EVTL,0.3321168184902832,down
EVTL,0.14285705302911045,down
EVTL,0.7245146156379907,up
EVTL,0.9066390056271532,down
EVTL,0.8478804710361687,down
EVTL,0.5987499952316284,up
EVTL,0.06493506654355596,down
EVTL,2.853011904497907,up
EVTL,0.17808217746407462,down
EVTL,0.8400460924317874,up
EVTL,0.6248336356473714,up
EVTL,0.07949789325758627,down
FMS,0.2222222409312007,up
FMS,0.02744276414280744,down
FMS,0.1867135692026538,up
FMS,0.10128523470107287,up
FMS,0.07918332868020994,none
FMS,-0.010215632648070017,down
FMS,0.3783101956558095,up
FMS,0.01732242775181092,down
FMS,0.11097030253144746,up
FMS,0.09449512424038198,up
FMS,0.0898455482314564,up
FMS,0.21550003997460165,up
NIPG,0.3437058571522609,up
NIPG,0.04011465807122194,down
NIPG,0.17647060499674772,none
NIPG,0.17812065072780636,none
NIPG,0.0658605964515393,down
NIPG,0.052631610968667086,down
NIPG,0.4969696661438605,none
NIPG,0.16778523203557105,down
NIPG,0.14117648554783235,none
NIPG,0.04460433118349072,down
NIPG,0.09352517985611519,down
NIPG,0.0430107806217479,down
OMTK,0.39999998509883894,up
OMTK,0.16666669771075315,none
OMTK,0.39999998509883894,up
OMTK,0.0,down
OMTK,0.0,none
OMTK,0.0,down
OMTK,0.11111108351636934,down
OMTK,0.0,none
OMTK,0.0,none
OMTK,0.11111108351636934,down
OMTK,0.25000004656612984,none
OMTK,0.3750000232830648,none
LPRO,0.05786023382095662,down
LPRO,0.06598978382454623,down
LPRO,0.014888322495247408,down
LPRO,0.2581818320534446,up
LPRO,0.07710100072566006,down
LPRO,0.8571428030796868,up
LPRO,0.4934876878020773,up
LPRO,0.0459491100039624,down
LPRO,0.7104136062247586,up
LPRO,0.01895744182953618,down
LPRO,0.17370885712661077,down
LPRO,0.057283125529369316,down
BR,0.14490046544473878,up
BR,0.006004406393362416,down
BR,0.02895242377221119,down
BR,0.09780411875604056,up
BR,0.07714898853298902,none
BR,0.057685361125910495,none
BR,0.045841089453170225,none
BR,0.02142543758335913,none
BR,0.0629570027801416,none
BR,0.031315381883672666,none
BR,0.05844393955491012,none
BR,0.02376170985248649,down
FMTOF,0.08333333333333326,down
FMTOF,0.0,down
FMTOF,0.044871794871794934,down
FMTOF,0.1755173273497881,down
FMTOF,0.504950495049505,none
FMTOF,0.45833333333333326,none
FMTOF,2.615894039735099,up
FMTOF,0.1428570849323192,down
FMTOF,0.042342342342342354,down
FMTOF,-0.03703703703703709,down
FMTOF,0.17288557213930345,up
FMTOF,0.055882298080155435,down
CBSH,0.06525717781951035,none
CBSH,0.0264658648857532,none
CBSH,0.04457779137949869,none
CBSH,0.11544191627546829,up
CBSH,0.029534662209528717,down
CBSH,0.041461938656374375,none
CBSH,0.04734384183407592,none
CBSH,0.027505797341893512,none
CBSH,0.012532114119334414,down
CBSH,0.01305716230910936,none
CBSH,0.015433599917859864,none
CBSH,0.04964104442197126,none
ACTG,0.06582278160116006,none
ACTG,0.33157894901951934,up
ACTG,0.12204009184457298,none
ACTG,0.3571428339729277,up
ACTG,0.024509781005518594,none
ACTG,0.04960837101965465,none
ACTG,0.026845719916934296,none
ACTG,0.1572053010966421,none
ACTG,0.16499996185302734,none
ACTG,0.12215911053613704,none
ACTG,0.15021465858867655,up
ACTG,0.13098230195478622,up
OCEA,0.24064167236735678,none
OCEA,0.19587621897639784,down
OCEA,3.0,down
