symbol,bars,n_pk_high,n_pk_close,n_pk_shared,n_pk_high_only,n_pk_close_only,mean_price_ratio,n_bo_high,n_bo_close,n_bo_shared,n_bo_high_only,n_bo_close_only,mean_dist_close_only
FNMAT,366,9,6,3,6,3,1.0311282932264982,6,3,2,4,1,1.6666666666666667
RNGE,366,19,17,3,16,14,1.0444444231275056,5,5,3,2,2,3.9285714285714284
IVFH,366,13,13,5,8,8,1.060792661492502,4,6,0,4,6,4.125
LGHL,366,20,17,14,6,3,1.1804996615170142,1,4,1,0,3,3.0
HOG,366,3,2,0,3,2,,2,2,0,2,2,1.5
CHUC,366,16,16,7,9,9,1.0238515878379453,8,11,5,3,6,6.777777777777778
BOSC,366,8,6,1,7,5,1.0370369411027254,3,5,1,2,4,11.2
PDSB,366,19,17,5,14,12,1.0773432195957426,3,8,1,2,7,3.3333333333333335
MSBB,366,1,0,0,1,0,,0,0,0,0,0,
PLMK,275,0,0,0,0,0,,0,0,0,0,0,
BHFAL,366,0,0,0,0,0,,0,0,0,0,0,
GLW,366,4,4,3,1,1,1.0069328246802909,5,4,4,1,0,1.0
RKLB,366,19,14,7,12,7,1.0509126051773185,15,11,6,9,5,2.857142857142857
BIRK,366,3,1,0,3,1,,0,1,0,0,1,37.0
MBGCF,366,0,0,0,0,0,,0,0,0,0,0,
WVVI,366,6,3,0,6,3,,1,0,0,1,0,4.0
CIMN,366,0,0,0,0,0,,0,0,0,0,0,
APVO,366,18,17,9,9,8,1.3668664868627327,0,1,0,0,1,3.5
FCBC,366,5,2,1,4,1,1.0006123449330286,3,0,0,3,0,1.0
PETV,366,14,11,4,10,7,1.0549735069400041,8,10,5,3,5,7.142857142857143
HNDAF,366,9,7,3,6,4,1.0060386416049578,4,6,4,0,2,2.5
VTTGF,366,1,1,1,0,0,1.0,0,0,0,0,0,
CWD,366,15,15,4,11,11,2.475502223186242,4,4,1,3,3,5.2727272727272725
WXM,234,11,10,2,9,8,1.2235138147973244,2,4,2,0,2,2.75
SRAD,366,7,4,2,5,2,1.0161741101502937,4,3,1,3,2,3.5
BCSF,366,1,1,0,1,1,,0,0,0,0,0,1.0
RSRV,366,1,1,1,0,0,1.0,2,2,1,1,1,
SENEM,366,1,1,1,0,0,1.0,2,2,2,0,0,
ANGO,366,15,11,7,8,4,1.0251607547969923,9,11,5,4,6,1.5
ALF,366,0,0,0,0,0,,0,0,0,0,0,
BULL,366,10,9,4,6,5,1.0926462099199263,3,3,1,2,2,1.0
FF,366,5,2,2,3,0,1.0433013405329497,2,1,0,2,1,
REECF,366,1,1,1,0,0,1.0,0,0,0,0,0,
AGRO,366,3,3,1,2,2,1.0109408560217905,3,3,1,2,2,2.5
PLMKU,286,0,0,0,0,0,,0,0,0,0,0,
ADMQ,366,14,16,5,9,11,1.0018518417593305,4,6,4,0,2,5.454545454545454
AMGN,366,2,1,1,1,0,1.0091305989665793,4,1,1,3,0,
WIT,366,3,2,2,1,0,1.0068092246224016,0,0,0,0,0,
UTG,366,1,0,0,1,0,,2,0,0,2,0,
LOMLF,366,13,9,3,10,6,1.0579709797515466,5,6,3,2,3,1.1666666666666667
HGBL,366,4,3,1,3,2,1.0127119538736808,1,1,1,0,0,42.0
ESLA,366,16,12,3,13,9,1.0369963815176606,10,12,5,5,7,1.6666666666666667
EIX,366,2,1,1,1,0,1.0034556372090977,0,0,0,0,0,
TAIT,366,5,5,4,1,1,1.1302242162185991,3,3,1,2,2,1.0
HZO,366,15,15,9,6,6,1.0227510871259966,8,11,5,3,6,8.333333333333334
RBGLY,366,1,1,1,0,0,1.0011247778201753,0,0,0,0,0,
NAGE,366,10,7,4,6,3,1.0375627523549324,5,7,2,3,5,3.3333333333333335
UNBLF,366,0,0,0,0,0,,0,0,0,0,0,
GE,366,2,1,0,2,1,,4,1,0,4,1,1.0
SCCF,366,0,0,0,0,0,,0,0,0,0,0,
LNTO,366,13,14,10,3,4,1.0180627701910085,7,8,7,0,1,6.0
ISOU,366,12,12,6,6,6,1.0379999903475874,10,14,5,5,9,1.0
FMCCS,366,8,5,2,6,3,1.0118778300069087,6,7,3,3,4,3.3333333333333335
BLW,366,0,0,0,0,0,,0,0,0,0,0,
IXQUF,366,0,0,0,0,0,,0,0,0,0,0,
VYX,366,7,3,0,7,3,,7,3,2,5,1,2.0
BIDU,366,11,9,6,5,3,1.0169876641987756,10,9,6,4,3,3.6666666666666665
DGX,366,0,0,0,0,0,,0,0,0,0,0,
MOB,366,14,16,8,6,8,1.0520072319561868,9,13,4,5,9,6.875
LICN,366,22,16,4,18,12,1.1058693413417218,5,7,4,1,3,2.75
BGC,366,5,2,1,4,1,1.0261096776945948,3,1,1,2,0,1.0
ARRY,366,15,17,5,10,12,1.026684129322788,10,10,7,3,3,3.5833333333333335
BH,366,7,5,2,5,3,1.0159410988158757,7,5,2,5,3,6.666666666666667
BORR,366,12,9,6,6,3,1.0298140382638699,13,13,6,7,7,8.333333333333334
BKSY,366,16,17,7,9,10,1.0570089059749104,12,14,6,6,8,3.3
SNTW,366,8,8,8,0,0,1.0393106529012734,4,5,4,0,1,
IMUX,366,15,14,8,7,6,1.0428258636046075,6,9,2,4,7,4.166666666666667
PCOR,366,5,4,2,3,2,1.0092139399789657,4,3,2,2,1,1.0
ATHS,366,0,0,0,0,0,,0,0,0,0,0,
AMEGF,366,14,16,8,6,8,1.0256916716889057,9,13,9,0,4,2.75
AGLY,366,1,1,1,0,0,2.0,0,0,0,0,0,
LMB,366,10,11,2,8,9,1.0262138330728157,4,6,1,3,5,3.111111111111111
IRT,366,1,1,1,0,0,1.008419097859746,0,0,0,0,0,
GRWTF,366,0,0,0,0,0,,0,0,0,0,0,
NIQ,157,2,2,2,0,0,1.01746951827279,0,0,0,0,0,
SOAR,366,20,14,9,11,5,1.1565354095843325,5,6,1,4,5,2.6
BELFB,366,7,5,2,5,3,1.0082193957278571,8,4,3,5,1,1.0
CIEN,366,9,7,4,5,3,1.013949474761818,10,7,4,6,3,1.3333333333333333
NAMS,366,13,12,5,8,7,1.0220709264792618,7,8,4,3,4,4.857142857142857
NXDR,366,10,9,6,4,3,1.079445610693681,4,5,1,3,4,6.0
YTRA,366,10,8,4,6,4,1.0490039375814855,8,7,4,4,3,7.75
CGC,366,19,16,8,11,8,1.041769804283837,9,9,5,4,4,1.0
FNUC,366,18,16,9,9,7,1.1062963567183575,9,8,5,4,3,5.428571428571429
IPTNF,366,12,10,9,3,1,1.0491838807817757,2,3,2,0,1,5.0
VECO,366,12,8,4,8,4,1.0199967669181977,9,7,3,6,4,1.25
BLNC,366,4,3,2,2,1,1.028571435383388,2,1,1,1,0,1.0
JUVF,366,0,0,0,0,0,,0,0,0,0,0,
AVAT,274,0,0,0,0,0,,0,0,0,0,0,
ADC-PA,366,0,0,0,0,0,,0,0,0,0,0,
FERA,221,0,0,0,0,0,,0,0,0,0,0,
KREF,366,2,2,1,1,1,1.0105170803824595,0,0,0,0,0,1.0
BRSYF,366,4,4,4,0,0,1.0,4,4,4,0,0,
HPP-PC,366,4,2,0,4,2,,4,2,1,3,1,3.0
UNIB,366,1,1,1,0,0,1.0,0,0,0,0,0,
KR,366,0,0,0,0,0,,0,0,0,0,0,
PCTTU,366,9,11,4,5,7,1.029307991368772,4,6,3,1,3,5.571428571428571
MDWD,366,8,5,1,7,4,1.0052381243024553,5,5,3,2,2,2.25
EVOH,366,0,0,0,0,0,,0,0,0,0,0,
OWLT,366,15,16,6,9,10,1.0393151617328056,8,12,6,2,6,4.6
NICH,365,8,8,7,1,1,1.0717355902746541,4,3,3,1,0,2.0
