symbol,match_id,tb_id,bo_id,burst_id,group,n_burst_variants,is_rep,own_burst_exists,own_burst_qualified,burst_count,bo_rank_in_burst,bars_bo_to_burst_end,first_bo_idx,last_bo_idx,tb_start,tb_end,tb_date,first_drought,distinct_pk,max_bar_vol_ratio,peak_age_max,fr,dd,fp_up,fp_down,fp_both,fp_none,n_buy_bars,fp4_up,fp4_down,fp6_up,fp6_down,atr_pct,close_at_buy
DRSHF,bb_v1@176-185#bo:bo_176#0|burst:burst_176_185#0|tb:tb_179_181#0,tb_179_181#0,bo_176#0,burst_176_185#0,新增,2,0,1,0,3,1,9,176,185,179,181,2025-06-09,56,4,3.574504062660127,168,1.7780580161957282,9.337050950186665e-05,3,0,0,0,3,3,0,3,0,0.07273601904001757,1.0199999809265137
DRSHF,bb_v1@176-181#bo:bo_177#0|burst:burst_176_177#0|tb:tb_179_181#1,tb_179_181#1,bo_177#0,burst_176_177#0,原有,2,1,1,1,2,2,0,176,177,179,181,2025-06-09,56,3,3.2883678742654174,168,1.7780580161957282,9.337050950186665e-05,3,0,0,0,3,3,0,3,0,0.07273601904001757,1.0199999809265137
DRSHF,bb_v1@176-185#bo:bo_177#0|burst:burst_176_185#0|tb:tb_179_181#1,tb_179_181#1,bo_177#0,burst_176_185#0,原有,2,0,1,1,3,2,8,176,185,179,181,2025-06-09,56,4,3.574504062660127,168,1.7780580161957282,9.337050950186665e-05,3,0,0,0,3,3,0,3,0,0.07273601904001757,1.0199999809265137
DRSHF,bb_v1@176-187#bo:bo_185#0|burst:burst_176_185#0|tb:tb_187#0,tb_187#0,bo_185#0,burst_176_185#0,原有,1,1,1,1,3,3,0,176,185,187,187,2025-06-20,56,4,3.574504062660127,168,1.3035020350464186,-0.17509729936681773,1,0,0,0,1,1,0,1,0,0.07807422519921828,1.284999966621399
DRTTF,bb_v1@274-280#bo:bo_274#0|burst:burst_274_277#0|tb:tb_280#0,tb_280#0,bo_274#0,burst_274_277#0,新增,2,1,1,0,2,1,3,274,277,280,280,2025-10-31,68,3,3.3388327024125655,105,0.09195404070689062,-0.14655172561446306,0,0,0,1,1,0,1,0,0,0.03825083497881733,0.6959999799728394
DRTTF,bb_v1@274-281#bo:bo_274#0|burst:burst_274_281#0|tb:tb_280#0,tb_280#0,bo_274#0,burst_274_281#0,新增,2,0,1,0,3,1,7,274,281,280,280,2025-10-31,68,5,3.3388327024125655,135,0.09195404070689062,-0.14655172561446306,0,0,0,1,1,0,1,0,0,0.03825083497881733,0.6959999799728394
DRTTF,bb_v1@274-280#bo:bo_277#0|burst:burst_274_277#0|tb:tb_280#1,tb_280#1,bo_277#0,burst_274_277#0,原有,2,1,1,1,2,2,0,274,277,280,280,2025-10-31,68,3,3.3388327024125655,105,0.09195404070689062,-0.14655172561446306,0,0,0,1,1,0,1,0,0,0.03825083497881733,0.6959999799728394
DRTTF,bb_v1@274-281#bo:bo_277#0|burst:burst_274_281#0|tb:tb_280#1,tb_280#1,bo_277#0,burst_274_281#0,原有,2,0,1,1,3,2,4,274,281,280,280,2025-10-31,68,5,3.3388327024125655,135,0.09195404070689062,-0.14655172561446306,0,0,0,1,1,0,1,0,0,0.03825083497881733,0.6959999799728394
DRTTF,bb_v1@274-301#bo:bo_281#0|burst:burst_274_281#0|tb:tb_285_301#0,tb_285_301#0,bo_281#0,burst_274_281#0,原有,1,1,1,1,3,3,0,274,281,285,301,2025-11-07,68,5,3.3388327024125655,135,0.06038976607222611,-0.15792318735333508,0,10,0,7,17,0,12,0,6,0.05099265911198542,0.6890000104904175
DVLT,bb_v1@252-257#bo:bo_254#0|burst:burst_252_255#0|tb:tb_256_257#0,tb_256_257#0,bo_254#0,burst_252_255#0,新增,4,1,1,0,3,2,1,252,255,256,257,2025-09-29,87,3,38.4281655063112,79,2.663342534759903,-0.08863185304945687,2,0,0,0,2,2,0,2,0,0.1746515808734761,1.149999976158142
DVLT,bb_v1@252-257#bo:bo_254#0|burst:burst_252_256#0|tb:tb_256_257#0,tb_256_257#0,bo_254#0,burst_252_256#0,新增,4,0,1,0,4,2,2,252,256,256,257,2025-09-29,87,4,38.4281655063112,91,2.663342534759903,-0.08863185304945687,2,0,0,0,2,2,0,2,0,0.1746515808734761,1.149999976158142
DVLT,bb_v1@252-258#bo:bo_254#0|burst:burst_252_258#0|tb:tb_256_257#0,tb_256_257#0,bo_254#0,burst_252_258#0,新增,4,0,1,0,5,2,4,252,258,256,257,2025-09-29,87,5,38.4281655063112,132,2.663342534759903,-0.08863185304945687,2,0,0,0,2,2,0,2,0,0.1746515808734761,1.149999976158142
DVLT,bb_v1@252-261#bo:bo_254#0|burst:burst_252_261#0|tb:tb_256_257#0,tb_256_257#0,bo_254#0,burst_252_261#0,新增,4,0,1,0,6,2,7,252,261,256,257,2025-09-29,87,6,38.4281655063112,162,2.663342534759903,-0.08863185304945687,2,0,0,0,2,2,0,2,0,0.1746515808734761,1.149999976158142
DVLT,bb_v1@252-274#bo:bo_255#0|burst:burst_252_255#0|tb:tb_267_274#0,tb_267_274#0,bo_255#0,burst_252_255#0,原有,4,1,1,1,3,3,0,252,255,267,274,2025-10-14,87,3,38.4281655063112,79,0.9275818701868866,-0.4511568858827393,2,1,0,5,8,3,4,0,1,0.2441019795305701,2.190000057220459
