symbol,tb_id,group,causal,n_burst,tb_start,tb_date,anchor_idx,burst_end_max,burst_end_min,n_bo_after,pos_from_end,first_drought,distinct_pk,vol_spike,peak_age,fr,dd,fp_up,fp_down,fp_both,fp_none,up4,dn4,up6,dn6,n_buy_bars,atr_pct
VRNO,tb_227_228#1,原有,True,3,227,2025-08-18,224,230,224,2,2,69,5,7.027994531092405,173,0.3214285714285714,-0.24285711560930523,0,0,0,2,0,0,0,0,2,0.1570167034317751
VRNO,tb_232_236#0,原有,True,2,232,2025-08-25,229,230,229,0,1,69,5,7.027994531092405,173,0.09213826041746373,-0.36739127853959075,0,0,0,5,0,0,0,0,5,0.16797231199554585
VRNO,tb_232_236#1,原有,True,1,232,2025-08-25,230,230,230,0,0,69,5,7.027994531092405,173,0.09213826041746373,-0.36739127853959075,0,0,0,5,0,0,0,0,5,0.16797231199554585
VSAT,tb_189#0,原有,True,2,189,2025-06-24,183,186,183,0,1,62,5,3.5230690476214903,162,1.2026195039188816,0.004622528638884793,1,0,0,0,1,0,1,0,1,0.06159344966098652
VSAT,tb_189#1,原有,True,1,189,2025-06-24,186,186,186,0,0,62,5,3.5230690476214903,162,1.2026195039188816,0.004622528638884793,1,0,0,0,1,0,1,0,1,0.06159344966098652
VSTD,tb_101_103#0,原有,True,1,101,2025-02-14,97,97,97,0,0,73,5,16.840303503682215,90,0.6963653351235157,-0.5114467820464008,0,2,0,1,0,3,0,2,3,0.1422027714045978
TSNDF,tb_220_221#0,原有,True,2,220,2025-08-07,218,224,218,1,1,116,6,5.719867835081167,168,1.3516163306076676,-0.018865891558924597,2,0,0,0,2,0,2,0,2,0.1305008828085517
TSNDF,tb_226#0,原有,True,1,226,2025-08-15,224,224,224,0,0,116,6,5.719867835081167,168,0.5078407789529025,-0.14957782080240933,0,0,0,1,0,0,0,0,1,0.13535064588494186
WEXPF,tb_246#0,新增,False,1,246,2025-09-15,244,246,246,1,1,71,3,7.140101002062255,170,-0.01897666326848113,-0.3130131938033318,0,1,0,0,0,1,0,0,1,0.07859195014920733
WEXPF,tb_251_256#0,原有,True,1,251,2025-09-22,246,246,246,0,0,71,3,7.140101002062255,170,0.08036017831395277,-0.2883221713940319,0,1,0,5,0,6,0,0,6,0.08260530004843197
VVOS,tb_190#0,新增,False,3,190,2025-06-25,187,200,194,4,4,106,6,190.46296732473985,118,1.6065573552640906,0.0196721126942887,1,0,0,0,1,0,1,0,1,0.08363002237527507
VVOS,tb_206#0,新增,True,3,206,2025-07-18,191,200,194,0,3,106,6,190.46296732473985,118,0.02113396297138359,-0.4261168701622434,0,1,0,0,0,1,0,0,1,0.1436052479739695
VVOS,tb_206#1,原有,True,3,206,2025-07-18,194,200,194,0,2,106,6,190.46296732473985,118,0.02113396297138359,-0.4261168701622434,0,1,0,0,0,1,0,0,1,0.1436052479739695
VVOS,tb_206#2,原有,True,2,206,2025-07-18,196,200,196,0,1,106,6,190.46296732473985,118,0.02113396297138359,-0.4261168701622434,0,1,0,0,0,1,0,0,1,0.1436052479739695
