flat,bo.min_relative_height,bo.exceed_threshold,burst.gap_max,tb.stop_confirm_bars,tb.big_rise_k,burst.count,burst.first_drought,burst.distinct_pk,burst.max_bar_vol_ratio,burst.peak_age_max,tb.day_drop,evaluable,s,s_nb,n_eval_nb,boot_top,count_2024,fp_2024,delta_2024,count_2025,fp_2025,delta_2025,flags
129614,0.15,0.001,12,3,3.0,1,0,3,0,125,,True,0.07992566700588472,0.014906449809430677,13,3,1057,0.5665236051502146,0.07992566700588472,1329,0.6842105263157895,0.10708042260041595,
157467,0.15,0.003,12,3,3.0,3,0,1,0,125,0.2,True,0.10914440608854803,0.0146902651699512,14,5,805,0.6535433070866141,0.16694536894228423,950,0.6862745098039216,0.10914440608854803,
34070,0.1,0.003,4,3,8.0,4,20,3,0,125,,True,0.13141448421591856,0.014468159936693537,14,3,556,0.6180124223602484,0.13141448421591856,385,0.7172995780590717,0.1401694743436982,
157263,0.15,0.003,12,3,3.0,1,0,3,0,125,0.2,True,0.10265279994812715,0.013877873079405245,14,4,912,0.5996649916247906,0.1130670534804607,1196,0.6797829036635007,0.10265279994812715,
117447,0.15,0.001,4,3,12.0,4,20,3,0,125,0.2,True,0.15668284592491422,0.013849678555233003,13,7,399,0.6722689075630253,0.18567096941869538,495,0.7338129496402878,0.15668284592491422,
129854,0.15,0.001,12,3,3.0,3,20,1,0,125,,True,0.10938478244924987,0.013778987193717396,14,3,811,0.6240740740740741,0.13747613592974423,874,0.6865148861646234,0.10938478244924987,
157371,0.15,0.003,12,3,3.0,2,0,3,0,125,0.2,True,0.10292529794667626,0.013631119446630313,15,2,906,0.6057529610829103,0.11915502293858043,1163,0.6800554016620498,0.10292529794667626,
157323,0.15,0.003,12,3,3.0,1,40,1,0,125,0.2,True,0.08453176896864084,0.013402061855670111,13,1,727,0.5711297071129707,0.08453176896864084,669,0.6817155756207675,0.10458547190539391,
157370,0.15,0.003,12,3,3.0,2,0,3,0,125,,True,0.10104669186473692,0.013161158420548769,15,2,911,0.6006711409395973,0.11407320279526739,1166,0.6781767955801105,0.10104669186473692,
129855,0.15,0.001,12,3,3.0,3,20,1,0,125,0.2,True,0.10938478244924987,0.012861116653370974,14,3,806,0.6299065420560748,0.14330860391174488,873,0.6865148861646234,0.10938478244924987,
116593,0.15,0.001,4,3,5.0,4,20,4,0,0,0.2,True,0.11970127445409534,0.012613486028216214,12,4,199,0.6062992125984252,0.11970127445409534,175,0.7457627118644068,0.16863260814903325,
157262,0.15,0.003,12,3,3.0,1,0,3,0,125,,True,0.10081306272576318,0.012168522459608422,14,4,917,0.5946843853820598,0.10808644723772992,1199,0.6779431664411367,0.10081306272576318,
6807,0.1,0.001,4,3,12.0,4,0,1,0,125,0.2,True,0.11723191408878075,0.01178585243566177,10,11,1076,0.6492307692307693,0.1626328310864394,1087,0.6943620178041543,0.11723191408878075,
157407,0.15,0.003,12,3,3.0,2,20,3,0,125,0.2,True,0.10375726829827836,0.010901119181417451,16,1,722,0.6036960985626283,0.1170981604182984,914,0.6808873720136519,0.10375726829827836,
130034,0.15,0.001,12,3,5.0,1,0,1,0,125,,True,0.06734685312442168,0.010649395952547658,14,0,3783,0.5564690610125487,0.06987112286821878,4223,0.6444769568397952,0.06734685312442168,
213242,0.15,0.03,12,3,5.0,3,20,3,0,125,,True,0.10833998175471193,0.010613628875155712,17,0,883,0.6753507014028056,0.18875276325847573,995,0.6854700854700855,0.10833998175471193,
213230,0.15,0.03,12,3,5.0,3,20,1,0,125,,True,0.10833998175471193,0.010613628875155712,16,0,883,0.6753507014028056,0.18875276325847573,995,0.6854700854700855,0.10833998175471193,
130035,0.15,0.001,12,3,5.0,1,0,1,0,125,0.2,True,0.0664722372942666,0.010427499971262355,14,0,3741,0.5530701754385965,0.0664722372942666,4197,0.6440366972477064,0.06690659353233286,
157478,0.15,0.003,12,3,3.0,3,0,3,0,125,,True,0.10596848783392221,0.01040192019581343,15,0,689,0.6363636363636364,0.14976569821930646,904,0.6830985915492958,0.10596848783392221,
130442,0.15,0.001,12,3,5.0,4,40,3,0,125,,True,0.08216193168285657,0.01021515075505286,15,1,579,0.597051597051597,0.11045365890726716,776,0.6592920353982301,0.08216193168285657,
129867,0.15,0.001,12,3,3.0,3,20,3,0,125,0.2,True,0.10708042260041595,0.009995312488844,15,0,658,0.6105990783410138,0.1240011401966839,807,0.6842105263157895,0.10708042260041595,
6398,0.1,0.001,4,3,8.0,4,0,4,0,125,,True,0.08793013724848187,0.009895212740322679,11,7,602,0.6210826210826211,0.13448468293829124,661,0.6650602409638554,0.08793013724848187,
117471,0.15,0.001,4,3,12.0,4,40,1,0,125,0.2,True,0.1711201826610393,0.00975514218626583,11,4,259,0.6577181208053692,0.1711201826610393,395,0.75,0.17286989628462646,
3410,0.1,0.001,4,1,12.0,4,20,4,0,125,,True,0.07958631419507423,0.009624863172043696,12,2,760,0.603082851637765,0.1164849134934351,543,0.6567164179104478,0.07958631419507423,
129830,0.15,0.001,12,3,3.0,3,0,3,0,125,,True,0.10023992686566618,0.009505482920213137,14,0,791,0.6036217303822937,0.11702379223796383,1044,0.6773700305810397,0.10023992686566618,
157479,0.15,0.003,12,3,3.0,3,0,3,0,125,0.2,True,0.10596848783392221,0.00949082252819422,15,1,684,0.6438679245283019,0.157269986383972,903,0.6830985915492958,0.10596848783392221,
129759,0.15,0.001,12,3,3.0,2,20,3,0,125,0.2,True,0.07382237709209744,0.00940835782308802,15,1,841,0.5604203152364273,0.07382237709209744,982,0.6871961102106969,0.11006600649532339,
129866,0.15,0.001,12,3,3.0,3,20,3,0,125,,True,0.10708042260041595,0.009344397393273862,15,0,663,0.6036446469248291,0.11704670878049922,808,0.6842105263157895,0.10708042260041595,
117483,0.15,0.001,4,3,12.0,4,40,3,0,125,0.2,True,0.17286989628462646,0.009248633826154706,12,2,237,0.6621621621621622,0.17556422401783228,395,0.75,0.17286989628462646,
212774,0.15,0.03,12,3,3.0,3,0,3,0,125,,True,0.1648053801555942,0.009200381183401218,14,3,386,0.6683417085427136,0.18174377039838369,429,0.7419354838709677,0.1648053801555942,
212762,0.15,0.03,12,3,3.0,3,0,1,0,125,,True,0.1648053801555942,0.009200381183401218,13,3,386,0.6683417085427136,0.18174377039838369,429,0.7419354838709677,0.1648053801555942,
212775,0.15,0.03,12,3,3.0,3,0,3,0,125,0.2,True,0.1648053801555942,0.009104067586329145,14,4,377,0.675392670157068,0.18879473201273816,429,0.7419354838709677,0.1648053801555942,
212763,0.15,0.03,12,3,3.0,3,0,1,0,125,0.2,True,0.1648053801555942,0.009104067586329145,13,4,377,0.675392670157068,0.18879473201273816,429,0.7419354838709677,0.1648053801555942,
129816,0.15,0.001,12,3,3.0,3,0,1,0,0,,True,0.0499124384890291,0.009065618902902584,14,2,1929,0.536510376633359,0.0499124384890291,2469,0.6301020408163265,0.05297193710095294,
129817,0.15,0.001,12,3,3.0,3,0,1,0,0,0.2,True,0.05198230876925031,0.008964763081247606,14,1,1924,0.5385802469135802,0.05198230876925031,2464,0.6305041480536057,0.05337404433823212,
157406,0.15,0.003,12,3,3.0,2,20,3,0,125,,True,0.10144132485605506,0.00886816767615628,16,1,727,0.5975609756097561,0.11096303746542618,917,0.6785714285714286,0.10144132485605506,
6399,0.1,0.001,4,3,8.0,4,0,4,0,125,0.2,True,0.08793013724848187,0.008857157431123253,11,6,593,0.6195965417867435,0.13299860364241362,655,0.6650602409638554,0.08793013724848187,
34514,0.1,0.003,4,3,12.0,4,20,4,0,125,,True,0.06836184737845835,0.00868508072359464,12,5,608,0.5549597855227882,0.06836184737845835,472,0.740625,0.16349489628462643,
129831,0.15,0.001,12,3,3.0,3,0,3,0,125,0.2,True,0.10023992686566618,0.00867332842191193,14,0,786,0.6097560975609756,0.12315815941664571,1043,0.6773700305810397,0.10023992686566618,
323343,0.2,0.03,12,3,3.0,2,40,4,0,125,0.2,True,0.17896745726023622,0.008640157093765366,12,8,170,0.7415730337078652,0.2549750955635353,195,0.7560975609756098,0.17896745726023622,
323235,0.2,0.03,12,3,3.0,1,40,4,0,125,0.2,True,0.17896745726023622,0.008640157093765366,11,8,170,0.7415730337078652,0.2549750955635353,195,0.7560975609756098,0.17896745726023622,
130143,0.15,0.001,12,3,5.0,2,0,1,0,125,0.2,True,0.060031285067533746,0.00795417243332186,15,1,3545,0.5568181818181818,0.07022024367385188,4046,0.6371613887829073,0.060031285067533746,
3411,0.1,0.001,4,1,12.0,4,20,4,0,125,0.2,True,0.07526284338790101,0.007673152729673949,12,3,721,0.6231884057971014,0.13659046765277155,529,0.6523929471032746,0.07526284338790101,
129974,0.15,0.001,12,3,3.0,4,20,3,0,125,,True,0.11494306701633372,0.007628389800242885,14,1,359,0.6215139442231076,0.13491600607877768,509,0.6920731707317073,0.11494306701633372,
123506,0.15,0.001,8,3,5.0,4,20,4,0,125,,True,0.07268939086946402,0.007615658996490859,14,1,466,0.5807692307692308,0.09417129262490093,500,0.6498194945848376,0.07268939086946402,
123507,0.15,0.001,8,3,5.0,4,20,4,0,125,0.2,True,0.06755854097327119,0.007615658996490859,14,0,454,0.5803921568627451,0.09379421871841526,489,0.6446886446886447,0.06755854097327119,
129986,0.15,0.001,12,3,3.0,4,20,4,0,125,,True,0.10017486082363358,0.007615658996490859,13,3,305,0.6634146341463415,0.1768166960020116,449,0.6773049645390071,0.10017486082363358,
129987,0.15,0.001,12,3,3.0,4,20,4,0,125,0.2,True,0.10017486082363358,0.007615658996490859,13,4,302,0.6732673267326733,0.18666938858834342,449,0.6773049645390071,0.10017486082363358,
129758,0.15,0.001,12,3,3.0,2,20,3,0,125,,True,0.06895761741122569,0.007534433025840559,15,0,846,0.5555555555555556,0.06895761741122569,985,0.6849757673667205,0.10784566365134696,
129651,0.15,0.001,12,3,3.0,1,20,3,0,125,0.2,True,0.07186628524135946,0.0073880637411825045,14,0,844,0.5584642233856894,0.07186628524135946,994,0.685214626391097,0.10808452267572344,
130443,0.15,0.001,12,3,5.0,4,40,3,0,125,0.2,True,0.07911989628462646,0.007249254722562326,15,0,571,0.5970149253731343,0.11041698722880439,765,0.65625,0.07911989628462646,
34082,0.1,0.003,4,3,8.0,4,20,4,0,125,,True,0.08006872852233676,0.006921620422557506,13,3,458,0.5666666666666667,0.08006872852233676,354,0.705607476635514,0.1284773729201405,
115707,0.15,0.001,4,2,12.0,4,20,1,0,125,0.2,True,0.11873364324326396,0.006886289727249362,13,2,640,0.6658097686375322,0.17921183049320227,682,0.6958637469586375,0.11873364324326396,
130142,0.15,0.001,12,3,5.0,2,0,1,0,125,,True,0.060512481835957255,0.006794787514303624,15,0,3587,0.5602868668758404,0.0736889287315105,4072,0.6376425855513308,0.060512481835957255,
129975,0.15,0.001,12,3,3.0,4,20,3,0,125,0.2,True,0.11494306701633372,0.006711359699260622,14,1,356,0.6290322580645161,0.14243431992018624,509,0.6920731707317073,0.11494306701633372,
212631,0.15,0.03,12,3,3.0,1,40,3,0,125,0.2,True,0.15302862644335657,0.0065608834090900015,13,7,362,0.7371134020618557,0.2505154639175258,339,0.7301587301587301,0.15302862644335657,
268094,0.2,0.003,12,3,3.0,3,20,1,0,125,,True,0.10495135763031799,0.006424272942451403,15,0,325,0.5915492957746479,0.10495135763031799,515,0.6934523809523809,0.11632227723700739,
113138,0.15,0.001,4,1,5.0,4,20,4,0,125,,True,0.0861352024070754,0.006352840629330281,14,2,273,0.6108374384236454,0.12423950027931546,267,0.6632653061224489,0.0861352024070754,
157431,0.15,0.003,12,3,3.0,2,40,1,0,125,0.2,True,0.08759561024276691,0.0062250283628471625,14,0,692,0.5741935483870968,0.08759561024276691,646,0.6737089201877934,0.09657881647241984,
47283,0.1,0.003,12,3,5.0,2,40,3,0,125,0.2,True,0.07548815457090191,0.006203229617959827,16,0,1733,0.5620860927152318,0.07548815457090191,1836,0.6675925925925926,0.09046248887721908,
6422,0.1,0.001,4,3,8.0,4,20,3,0,125,,True,0.08010260068714214,0.006203229617959827,13,15,554,0.7222222222222222,0.23562428407789232,506,0.6572327044025157,0.08010260068714214,
6423,0.1,0.001,4,3,8.0,4,20,3,0,125,0.2,True,0.08010260068714214,0.006203229617959827,13,14,553,0.7244582043343654,0.23786026619003547,500,0.6572327044025157,0.08010260068714214,
6410,0.1,0.001,4,3,8.0,4,20,1,0,125,,True,0.08010260068714214,0.006203229617959827,12,9,661,0.7017114914425427,0.21511355329821286,510,0.6572327044025157,0.08010260068714214,
6411,0.1,0.001,4,3,8.0,4,20,1,0,125,0.2,True,0.08010260068714214,0.006203229617959827,12,10,660,0.7034313725490197,0.21683343440468977,504,0.6572327044025157,0.08010260068714214,
6396,0.1,0.001,4,3,8.0,4,0,4,0,0,,True,0.08118832204491266,0.006203229617959827,11,0,823,0.59251968503937,0.10592174689504014,850,0.6583184257602862,0.08118832204491266,
6891,0.1,0.001,4,3,12.0,4,40,3,0,125,0.2,True,0.11810799152272167,0.006203229617959827,11,9,400,0.6127659574468085,0.12616801930247862,474,0.6952380952380952,0.11810799152272167,
6397,0.1,0.001,4,3,8.0,4,0,4,0,0,0.2,True,0.08118832204491266,0.006097342282085139,11,0,814,0.5912698412698413,0.10467190312551139,842,0.6583184257602862,0.08118832204491266,
213243,0.15,0.03,12,3,5.0,3,20,3,0,125,0.2,True,0.10617454344469535,0.005968487833922231,17,0,838,0.6623931623931624,0.17579522424883248,986,0.6833046471600689,0.10617454344469535,
213231,0.15,0.03,12,3,5.0,3,20,1,0,125,0.2,True,0.10617454344469535,0.005968487833922231,16,0,838,0.6623931623931624,0.17579522424883248,986,0.6833046471600689,0.10617454344469535,
95739,0.1,0.03,8,3,5.0,3,20,3,0,125,0.2,True,0.09026595755377309,0.005968487833922231,15,1,778,0.5979166666666667,0.11131872852233676,793,0.6673960612691466,0.09026595755377309,
95727,0.1,0.03,8,3,5.0,3,20,1,0,125,0.2,True,0.09026595755377309,0.005968487833922231,14,1,778,0.5979166666666667,0.11131872852233676,793,0.6673960612691466,0.09026595755377309,
212739,0.15,0.03,12,3,3.0,2,40,3,0,125,0.2,True,0.15302862644335657,0.00566559520935761,14,8,359,0.7447916666666666,0.25819372852233674,335,0.7301587301587301,0.15302862644335657,
129650,0.15,0.001,12,3,3.0,1,20,3,0,125,,True,0.06703527984874974,0.005547061638957129,14,0,849,0.5536332179930796,0.06703527984874974,997,0.6830427892234548,0.1059126855080813,
