rule,kind,n_drop,n_keep,med,fp,drop_mean_fr,drop_med_fr,kept_mean_fr,d_med,d_fp
max_drop_pct>=0.1 OR slope_ratio>=0.3,or,37,43,0.5215765574497939,0.8,0.694027201947588,0.5286897771065678,0.9732760270169808,-0.003556609828387014,0.07218934911242603
max_drop_pct>=0.1 AND slope_ratio>=0.3,and,17,63,0.5351811772753443,0.7703703703703704,0.6902241263651819,0.2320124924175859,0.8856518331044895,0.010048009997163376,0.042559719482796354
max_drop_pct>=0.1 OR slope_ratio>=0.5,or,32,48,0.49337076064393803,0.7692307692307693,0.7311777911629861,0.5436998490589339,0.9194205482619869,-0.0317624066342429,0.041420118343195256
max_drop_pct>=0.1 AND slope_ratio>=0.5,and,10,70,0.5319354771909561,0.7676056338028169,0.876834744140665,0.15604566160764238,0.8394504027483469,0.006802309912775195,0.03979498291524286
max_drop_pct>=0.1 OR slope_ratio>=1.0,or,30,50,0.49337076064393803,0.7714285714285715,0.7245966274080026,0.5436998490589339,0.9158395362310169,-0.0317624066342429,0.043617920540997446
max_drop_pct>=0.1 AND slope_ratio>=1.0,and,3,77,0.5286897771065678,0.7677419354838709,0.4398437290094918,0.0800788307976989,0.8598746032047071,0.003556609828386903,0.03993128459629691
max_drop_pct>=0.1 OR rev_days>=4,or,41,39,0.5483871463930441,0.6986301369863014,0.7888854980011304,0.4408842320037164,0.9021941080960147,0.023253979114863155,-0.02918051390127263
max_drop_pct>=0.1 AND rev_days>=4,and,22,58,0.5283788673625691,0.7661290322580645,0.7864595798438707,0.4209105147115105,0.865995946159065,0.003245700084388181,0.038318381370490484
max_drop_pct>=0.1 OR rev_days>=5,or,32,48,0.5417841618341942,0.7777777777777778,0.743871256310481,0.3530934038440219,0.9109582381636571,0.016650994556013266,0.04996712689020377
max_drop_pct>=0.1 AND rev_days>=5,and,16,64,0.5283788673625691,0.7465753424657534,0.6891112952089458,0.3803511347620769,0.8828764829757468,0.003245700084388181,0.018764691578179393
max_drop_pct>=0.1 OR rev_days>=6,or,29,51,0.5483871463930441,0.7876106194690266,0.684562153347207,0.3131312523164531,0.9348543762102339,0.023253979114863155,0.059799968581452534
max_drop_pct>=0.1 AND rev_days>=6,and,8,72,0.49337076064393803,0.7295597484276729,0.5659542211048414,0.5912183103392967,0.875031137013225,-0.0317624066342429,0.0017490975400988873
max_drop_pct>=0.1 OR max_upper_atr>=1.5,or,33,47,0.4651649638380822,0.7830188679245284,1.1375332013224086,0.5885353169157369,0.6381123402159881,-0.05996820344009873,0.05520821703695433
max_drop_pct>=0.1 AND max_upper_atr>=1.5,and,8,72,0.5251331672781809,0.740506329113924,0.6408465617093172,0.6138759354503306,0.8667097658349499,0.0,0.012695678226349982
max_drop_pct>=0.1 OR max_upper_atr>=2.0,or,30,50,0.49337076064393803,0.7818181818181819,0.823431737034144,0.5586125470111524,0.8565384704553323,-0.0317624066342429,0.05400753093060784
max_drop_pct>=0.1 AND max_upper_atr>=2.0,and,3,77,0.5286897771065678,0.7305389221556886,0.4713147678051624,0.2320124924175859,0.8586484588360446,0.003556609828386903,0.0027282712681145904
max_drop_pct>=0.12 OR max_drop_tr>=1.5,or,33,47,0.5587099210112999,0.7634408602150538,0.8039767683278819,0.3131312523164531,0.8723115378504431,0.03357675373311897,0.035630209327479734
max_drop_pct>=0.12 AND max_drop_tr>=1.5,and,17,63,0.5483871463930441,0.7744360902255639,0.7853502886864221,0.1861924325148261,0.8599828686685993,0.023253979114863155,0.046625439337989905
max_drop_pct>=0.12 OR max_drop_tr>=2.0,or,27,53,0.5351811772753443,0.7128712871287128,0.9519813771007597,0.4200912391952296,0.789176951925857,0.010048009997163376,-0.01493936375886118
max_drop_pct>=0.12 AND max_drop_tr>=2.0,and,16,64,0.5535485337021719,0.781021897810219,0.7281857893048399,0.17225130598227534,0.8731078594517733,0.028415366423991006,0.053211246922645006
max_drop_pct>=0.12 OR max_drop_tr>=2.5,or,25,55,0.5483871463930441,0.7211538461538461,0.7396230938876025,0.3897550863640954,0.8916236052109249,0.023253979114863155,-0.006656804733727872
max_drop_pct>=0.12 AND max_drop_tr>=2.5,and,13,67,0.5351811772753443,0.722972972972973,0.8857651995293702,0.2320124924175859,0.8360437020881958,0.010048009997163376,-0.004837677914600991
max_drop_pct>=0.12 OR max_drop_tr>=3.0,or,22,58,0.5417841618341942,0.768,0.7584087110521665,0.2725718723670195,0.8766359308731599,0.016650994556013266,0.040189349112426
max_drop_pct>=0.12 AND max_drop_tr>=3.0,and,11,69,0.5483871463930441,0.7354838709677419,0.6974140408236367,0.1861924325148261,0.8675119012279844,0.023253979114863155,0.0076732200801679085
max_drop_pct>=0.12 OR max_drop_atr>=1.5,or,23,57,0.5351811772753443,0.7169811320754716,0.8657809728521514,0.3897550863640954,0.8353844431261657,0.010048009997163376,-0.010829518812102368
max_drop_pct>=0.12 AND max_drop_atr>=1.5,and,18,62,0.5417841618341942,0.7761194029850746,0.7381649650871102,0.209102462466206,0.8748855848745636,0.016650994556013266,0.04830875209750063
