symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
FATN,tb_284#0,bo_278#0,278,284,284,2026-05-27 00:00:00,266,4,3,1.0812327825238968,24,4,36.10570644904632,131,0.3967630240285692,0.24943400331050933,3.331964384428798,1.0766129257093482,0.7856846565184774,1,0,0,0,0.11241218295493643
FATN,tb_290#0,bo_285#0,285,290,290,2026-06-04 00:00:00,266,5,7,4.033232017663336,24,6,36.10570644904632,163,0.5681748871140947,0.15069133905973722,2.2827485649012114,2.088709592136955,0.025198946708451242,0,1,0,0,0.1369346918799305
IMUX,tb_314#1,bo_310#0,310,314,314,2026-02-20 00:00:00,307,3,1,39.69067965286248,143,4,39.69067965286248,74,0.7733073243634433,0.25166670481363934,3.905304350052057,0.2787115245332388,0.6063830844953451,1,0,0,0,0.04362045967309667
LASE,tb_388#0,bo_386#0,386,388,388,2026-06-08 00:00:00,384,3,1,6.869355830036814,32,4,164.9667494729198,128,0.31907949676964265,0.228155302163151,2.945973741084676,2.9008620578915267,-0.012195110427418387,0,1,0,0,0.14364640811202775
LFLRF,tb_303_308#0,bo_298#0,298,303,308,2026-02-04 00:00:00,296,2,2,18.342005301427495,138,5,18.342005301427495,137,0.03801717074339391,0.2225806619076524,3.62993901822827,0.5775908341164389,0.03499165957443947,0,6,0,0,0.09040929780612
LSTA,tb_299#0,bo_297#0,297,299,299,2026-01-29 00:00:00,293,2,4,4.952433216195261,58,6,72.55396184375437,264,0.2419237155883856,0.05930469729469503,1.1987248176464012,1.1157407361416172,0.09267248223036484,0,0,0,1,0.0
MNTS,tb_387#0,bo_380#0,380,387,387,2026-06-05 00:00:00,377,3,1,12.870081545659444,26,4,40.93749473295813,114,1.528375181056905,0.3644144517223443,5.293203662642436,2.1350483372603404,0.17303822603015373,0,1,0,0,0.15739074236158768
NROM,tb_396_406#0,bo_391#0,391,396,406,2026-06-18 00:00:00,388,3,2,23.215310192650428,25,4,26.064613072877535,348,0.05097054506856525,0.2837838316764853,4.1200273190032,0.8285714188400579,0.39999993497675246,0,0,0,1,0.171875026193448
OMH,tb_294_295#0,bo_292#0,292,294,295,2026-01-22 00:00:00,287,2,5,0.5181722898293297,85,4,308.0679571090377,134,0.13642123520348165,0.07407406706588533,1.0262330896364167,0.7128713221868319,0.020350027579456365,0,2,0,0,0.005780341244511894
PIII,tb_381#0,bo_377#0,377,381,381,2026-05-28 00:00:00,367,3,4,2.128061482769469,42,7,719.2422403449895,318,1.4782291345623781,0.09117815653223453,1.0417863998023686,3.8461539038667913,0.00425024924658568,0,1,0,0,0.04761903778938013
PLSE,tb_313#0,bo_308#0,308,313,313,2026-02-19 00:00:00,305,2,3,1.833182721850714,84,4,15.525934096475535,255,1.572235473959637,0.06615968903399244,1.1067043072982043,0.8444120360807954,-0.025518317049255557,0,1,0,0,0.0732673418403852
PMA,tb_358_360#0,bo_355#0,355,358,360,2026-05-01 00:00:00,353,3,1,2.072190365901492,148,5,18.321544490659484,91,0.13094917425694289,0.19270834012422725,2.8255237718595563,0.48695658573806977,0.380880014848149,0,3,0,0,0.1403508796390538
RDCM,tb_363_369#0,bo_360#0,360,363,369,2026-05-01 00:00:00,357,2,3,3.2207408915123144,145,4,19.34836045664319,306,0.7755848313516365,0.02037042357030687,0.4254865026244363,0.2407121201228084,0.040246248320418995,0,7,0,0,0.03181535914135761
RLYB,tb_325#1,bo_320#0,320,325,325,2026-03-09 00:00:00,318,3,1,109.38067242251498,52,6,109.38067242251498,303,0.6134394354349161,0.07136638043156544,1.3367247807321934,0.8848797153724677,0.42220157281398407,0,0,0,1,0.024156821957355197
RPMT,tb_372_373#0,bo_366#0,366,372,373,2026-05-14 00:00:00,361,4,2,35.066812900166,92,9,35.066812900166,268,0.030369142478612894,0.6000000081094753,29.04263858316726,1.3529411867828105,0.5567429002794387,2,0,0,0,0.17211947415986067
RYDE,tb_326#0,bo_324#0,324,326,326,2026-03-10 00:00:00,320,3,1,0.5124150077610131,99,4,284.04187445851994,90,0.06813208730542064,0.15929201283662558,1.5851559040828616,1.7705626342878418,1.5080906557755407,0,1,0,0,0.046874956344253337
SIDU,tb_284_285#0,bo_280#0,280,284,285,2026-01-07 00:00:00,274,2,6,9.70534055961006,110,5,150.53091430978267,223,0.4436679330382411,0.17588125745942748,2.1367330916429377,1.7068967200487934,0.06520908699317907,0,2,0,0,0.08545032149617186
SIDU,tb_283_285#0,bo_281#0,281,283,285,2026-01-06 00:00:00,274,3,1,7.2996473938417195,110,6,150.53091430978267,239,0.5348345112933831,0.2557692254788775,2.486750379084053,2.7327586623278597,0.07383708390994322,0,3,0,0,0.08545032149617186
SJ,tb_294_295#0,bo_292#0,292,294,295,2026-01-22 00:00:00,283,3,1,16.43031105228326,31,8,16.43031105228326,236,0.07271484895983771,0.07916668736272306,1.3064735740935178,0.4864864995481324,0.3697478292890999,0,0,0,2,0.0
STFS,tb_372_373#0,bo_368#0,368,372,373,2026-05-14 00:00:00,366,2,2,7.85708147718827,153,4,80.41658327567777,125,0.7060687198361998,0.4849872731796007,13.497269409105174,1.48387089522208,0.9471393253724597,0,2,0,0,0.0009990238414762764
