symbol,tb_id,bo_id,bo_idx,tb_start,tb_end,tb_date,first_bo_idx,burst_count,bo_drought,bo_vol_ratio,burst_first_drought,burst_distinct_pk,burst_max_bar_vol_ratio,burst_peak_age_max,atr,m2_depth_rel,m2_depth_atr,m1_burst_runup,label,fp_up,fp_down,fp_both,fp_none,day_drop
DHX,tb_311#0,bo_306#0,306,311,311,2026-02-17 00:00:00,296,4,1,4.3603391776053915,179,4,29.034959329023767,71,0.14033496514749413,0.17229729185494486,3.6341619490712045,0.5086704429596649,0.1625441874728304,0,0,0,1,0.14285709420028916
EGHT,tb_307#0,bo_303#0,303,307,307,2026-02-10 00:00:00,303,1,92,33.35090938240376,92,4,33.35090938240376,221,0.08772599006469729,0.09154929518344924,2.9637737946475005,0.4698795820981827,0.06037729873738917,0,1,0,0,0.04029308891790279
ENVB,tb_360#0,bo_358#0,358,360,360,2026-04-28 00:00:00,352,3,4,13.09525987738234,86,3,290.82097679167185,61,0.5280792211944868,0.3769035817126417,5.624156656478222,1.4827586368893209,0.07706763800424299,0,1,0,0,0.0
EPSM,tb_307_308#0,bo_302#0,302,307,308,2026-06-16 00:00:00,298,2,4,387.38809241761413,184,3,387.38809241761413,44,0.19999540917193218,0.6442952778504649,14.400329331245645,0.4539007098194723,0.06456881746193333,0,0,0,2,0.13043478542555026
FENC,tb_376#0,bo_372#0,372,376,376,2026-05-20 00:00:00,366,2,6,13.068851679454234,149,3,13.068851679454234,136,0.3843873312785314,0.06037008876320983,1.6129585675240135,0.37500000886973917,0.16000004303761028,0,0,0,1,0.015384576259515224
FENC,tb_375_376#0,bo_373#0,373,375,376,2026-05-19 00:00:00,366,3,1,2.9075957899897356,149,3,13.068851679454234,137,0.5619311192155106,0.07497569848515295,1.3702755220935947,0.45089290244188174,0.1594057671328316,0,0,0,2,0.015384576259515224
FENC,tb_381#0,bo_377#0,377,381,381,2026-05-28 00:00:00,366,4,4,0.9424733692653736,149,4,13.068851679454234,157,0.5886211139215158,0.06076557325090423,1.0787928157237392,0.48363103843853983,0.1435793758341637,0,0,0,1,0.008024064349387999
GAME,tb_356_358#0,bo_354#0,354,356,358,2026-04-22 00:00:00,347,3,4,0.9795733966013899,190,3,223.07535662653686,32,0.03950552859070526,0.24920126441830198,3.948814099761035,0.8134919841806436,0.09219541044044595,0,3,0,0,0.008752687996739351
HTCO,tb_357_358#0,bo_351#0,351,357,358,2026-04-23 00:00:00,342,3,8,2.2233957272836586,87,3,16.157133428665713,30,1.411642082445789,0.17094017372685902,1.416789726567822,0.3528722535883815,4.316596168151429,2,0,0,0,0.08095677310999866
IDN,tb_346#0,bo_342#0,342,346,346,2026-04-08 00:00:00,340,2,2,4.2767299448867115,89,3,12.492633848365074,89,0.432538382760099,0.08608485632580755,1.6877104352637569,0.47070319885097134,0.15964240257723472,0,1,0,0,0.017565855730371255
IDN,tb_346#1,bo_343#0,343,346,346,2026-04-08 00:00:00,340,3,1,2.369813237980089,89,3,12.492633848365074,90,0.45807135269530813,0.08608485632580755,1.593637187614953,0.5253906479192669,0.15964240257723472,0,1,0,0,0.017565855730371255
IFRX,tb_363#0,bo_361#0,361,363,363,2026-05-01 00:00:00,350,3,8,3.973126061146098,67,3,17.87916697960366,115,0.15326612210073115,0.11617306778028604,1.6637719577373087,0.8504672168342227,0.40428572174643196,0,0,0,1,0.0
IMUX,tb_314#1,bo_310#0,310,314,314,2026-02-20 00:00:00,307,3,1,39.69067965286248,143,4,39.69067965286248,74,0.7733073243634433,0.25166670481363934,3.905304350052057,0.2787115245332388,0.6063830844953451,1,0,0,0,0.04362045967309667
LFLRF,tb_303_308#0,bo_298#0,298,303,308,2026-02-04 00:00:00,296,2,2,18.342005301427495,138,5,18.342005301427495,137,0.03801717074339391,0.2225806619076524,3.62993901822827,0.5775908341164389,0.03499165957443947,0,6,0,0,0.09040929780612
LGVN,tb_338#0,bo_333#0,333,338,338,2026-03-26 00:00:00,326,3,4,0.6059775050136296,104,3,720.5791324361475,110,0.1351505370696219,0.175438588235737,1.4798312490319026,1.0943397626880302,0.2641315845138432,0,0,0,1,0.11711711131194118
LSTA,tb_299#0,bo_297#0,297,299,299,2026-01-29 00:00:00,293,2,4,4.952433216195261,58,6,72.55396184375437,264,0.2419237155883856,0.05930469729469503,1.1987248176464012,1.1157407361416172,0.09267248223036484,0,0,0,1,0.0
MLGO,tb_380_384#0,bo_376#0,376,380,384,2026-05-27 00:00:00,372,2,4,32.72693154285896,165,3,67.59978026368358,69,0.38749464011021845,0.20669579329671056,3.6645670141141626,0.33333337287206977,0.07139920577265416,0,5,0,0,0.11596631974825562
NNBR,tb_364_370#0,bo_359#0,359,364,370,2026-05-04 00:00:00,351,3,7,1.8688125262489095,45,3,30.094104416901946,166,0.22025158770932407,0.11808115451599974,1.4528836616838203,0.68789809352462,0.7319634192092694,7,0,0,0,0.09448819415007155
NSYS,tb_344#0,bo_342#0,342,344,344,2026-04-06 00:00:00,333,3,3,9.512565869477097,124,3,22.374887892376684,226,0.5697436417374967,0.03148426323012204,0.7371737840076781,0.32227986873487824,0.3695818061852345,1,0,0,0,0.0
OABI,tb_374_377#0,bo_372#0,372,374,377,2026-05-18 00:00:00,368,3,2,2.1668814082206698,101,3,13.98266736143488,78,0.1091867084901899,0.06410250532086098,1.3737922776775489,0.4897959282973168,0.1427672160503865,0,0,0,4,0.004566205571678748
OABI,tb_376_387#0,bo_374#0,374,376,387,2026-05-20 00:00:00,368,4,2,2.69212416758429,101,4,13.98266736143488,106,0.12483445289215643,0.08045969661645656,1.6822262994160022,0.5578230729818718,0.058564902938043194,0,4,0,8,0.0
OABI,tb_381_382#0,bo_375#0,375,381,382,2026-05-28 00:00:00,368,5,1,2.1370263952606394,101,5,13.98266736143488,217,0.1273462667864388,0.06776554633224022,1.4527315754751424,0.6122447887295162,0.02953428512968226,0,2,0,0,0.03773590168014016
OMH,tb_294_295#0,bo_292#0,292,294,295,2026-01-22 00:00:00,287,2,5,0.5181722898293297,85,4,308.0679571090377,134,0.13642123520348165,0.07407406706588533,1.0262330896364167,0.7128713221868319,0.020350027579456365,0,2,0,0,0.005780341244511894
PIII,tb_381#0,bo_377#0,377,381,381,2026-05-28 00:00:00,367,3,4,2.128061482769469,42,7,719.2422403449895,318,1.4782291345623781,0.09117815653223453,1.0417863998023686,3.8461539038667913,0.00425024924658568,0,1,0,0,0.04761903778938013
PLSE,tb_313#0,bo_308#0,308,313,313,2026-02-19 00:00:00,305,2,3,1.833182721850714,84,4,15.525934096475535,255,1.572235473959637,0.06615968903399244,1.1067043072982043,0.8444120360807954,-0.025518317049255557,0,1,0,0,0.0732673418403852
PMA,tb_358_360#0,bo_355#0,355,358,360,2026-05-01 00:00:00,353,3,1,2.072190365901492,148,5,18.321544490659484,91,0.13094917425694289,0.19270834012422725,2.8255237718595563,0.48695658573806977,0.380880014848149,0,3,0,0,0.1403508796390538
PMN,tb_307_316#0,bo_302#0,302,307,316,2026-02-10 00:00:00,297,3,4,1.5333926599624854,131,3,293.30732504260385,81,1.3534251993504103,0.25229882102832185,3.243621732294818,0.7725751555408742,0.745698752798958,10,0,0,0,0.16293925234613027
PPSI,tb_287_288#1,bo_283#0,283,287,288,2026-01-12 00:00:00,277,3,1,1.9095412194834296,52,3,15.499103396646877,55,0.29513461447137435,0.06679029046284081,1.2197812083887678,0.26172836860711524,0.05231486457621792,0,2,0,0,0.056751458762405116
RDCM,tb_359_360#0,bo_357#0,357,359,360,2026-04-27 00:00:00,357,1,145,19.34836045664319,145,3,19.34836045664319,185,0.5721141194830871,0.05579139412150285,1.6080709162101747,0.19040247860839132,0.0508888353487712,0,2,0,0,0.0
RDCM,tb_363_369#0,bo_360#0,360,363,369,2026-05-01 00:00:00,357,2,3,3.2207408915123144,145,4,19.34836045664319,306,0.7755848313516365,0.02037042357030687,0.4254865026244363,0.2407121201228084,0.040246248320418995,0,7,0,0,0.03181535914135761
